,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Grid Electricity Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Financing cash outflow,Capital gains taxes payable,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00010278531632213876
15,Financing cash outflow,Desalination,0.0008794442300652222
16,Operating Expenses,Desalination Fixed O&M Cost,0.0038828262154913433
17,Operating Expenses,Water,0.007678100263852242
18,Financing cash outflow,Compression,0.008777454674269722
19,Operating Expenses,Cash on hand reserve,0.02233321154816875
20,Operating Expenses,Property insurance,0.04789208437890222
21,Financing cash outflow,Hydrogen Storage,0.05971061736345381
22,Operating Expenses,Var O&M,0.07265200596102123
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.07916003466003521
24,Financing cash outflow,Solar Plant,0.15963173268507683
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.19576902487979836
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.42891414568705116
27,Financing cash outflow,Electrolysis system,0.5794291822514633
28,Financing cash outflow,Wind Plant,0.619727372428965
29,Financing cash outflow,Repayment of debt,0.9595158458715604
30,Financing cash outflow,Dividends paid,1.147274274708204
31,Financing cash outflow,Interest expense,1.1524933007835252
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.007980195711126119
36,Operating Revenue,Cash on hand recovery,0.022333211548168756
37,Financing cash inflow,One time capital incentive,0.10967117502426532
38,Operating Revenue,Hydrogen sales,0.4709873896437388
39,Financing cash inflow,Inflow of debt,0.9595158458715604
40,Financing cash inflow,Inflow of equity,2.393888744178115
41,Financing cash inflow,Monetized tax losses,2.5234216612177285
