,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Credit card fees,0.0
7,Operating Expenses,Road tax,0.0
8,Operating Expenses,Property insurance,0.0
9,Financing cash outflow,Capital gains taxes payable,0.0
10,Operating Expenses,Non-depreciable assets,0.0315040650406504
11,Financing cash outflow,H2 Pre-heating,0.20906993236955657
12,Financing cash outflow,Oxygen Supply,0.3675489983458965
13,Financing cash outflow,Cooling Tower,0.45257650335277694
14,Operating Expenses,Raw Water Withdrawal,0.5146421039631365
15,Financing cash outflow,Electrical & Instrumentation,0.8908511129514954
16,Financing cash outflow,Other Miscellaneous Costs,0.8908514680636841
17,Financing cash outflow,Piping,1.3362766682963125
18,Financing cash outflow,"Buildings, Storage, Water Service",2.0144006627414566
19,Operating Expenses,Lime,2.4258581269372694
20,Operating Expenses,Natural Gas,2.6861210471195056
21,Financing cash outflow,Shaft Furnace,3.0338058013608475
22,Operating Expenses,Cash on hand reserve,3.8677290560079367
23,Operating Expenses,Maintenance Labor Cost,4.075284052281331
24,Financing cash outflow,EAF & Casting,5.378405352315362
25,Operating Expenses,Slag Disposal,7.085325067638375
26,Operating Expenses,Installation cost,7.6561384169310776
27,Operating Expenses,Maintenance Materials,8.338169741697413
28,Financing cash outflow,Repayment of debt,8.560300599623803
29,Operating Expenses,Property tax and insurance,8.744271899878433
30,Financing cash outflow,Interest expense,14.138337995448868
31,Operating Expenses,Carbon,15.327298391143913
32,Operating Expenses,Administrative & Support Labor Cost,23.057162980646822
33,Financing cash outflow,Income taxes payable,33.84297252970595
34,Operating Expenses,Electricity,56.33984272146657
35,Operating Expenses,Annual Operating Labor Cost,81.31578076159346
36,Financing cash outflow,Dividends paid,97.68233255302194
37,Operating Expenses,Hydrogen,493.8853540325779
38,Operating Expenses,Iron Ore,520.3974352549815
39,Operating Revenue,Take or pay revenue,0.0
40,Operating Revenue,Incidental revenue,0.0
41,Operating Revenue,Oxygen sales,0.0
42,Financing cash inflow,One time capital incentive,0.0
43,Financing cash inflow,Annual operating incentives,0.0
44,Operating Revenue,Sale of non-depreciable assets,0.0315040650406504
45,Financing cash inflow,Monetized tax losses,3.5116500207190824
46,Operating Revenue,Cash on hand recovery,3.8677290560079367
47,Financing cash inflow,Inflow of debt,8.560300599623803
48,Financing cash inflow,Inflow of equity,17.832487694220106
49,Operating Revenue,Steel sales,1370.7419764618917
