,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011359416503074449
16,Financing cash outflow,Desalination,0.0009092212028380322
17,Operating Expenses,Desalination Fixed O&M Cost,0.004014294256951645
18,Operating Expenses,Water,0.007678100263852242
19,Financing cash outflow,Compression,0.020556000103963523
20,Operating Expenses,Cash on hand reserve,0.029433167558902733
21,Operating Expenses,Var O&M,0.07356121715358174
22,Operating Expenses,Property insurance,0.16828041806164487
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2023975394851793
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.5502259443955415
25,Financing cash outflow,Wind Plant,1.054052718509307
26,Financing cash outflow,Income taxes payable,1.7870696766700116
27,Financing cash outflow,Hydrogen Storage,1.9181859216871517
28,Financing cash outflow,Electrolysis system,2.0211362633666647
29,Financing cash outflow,Repayment of debt,2.121250344023041
30,Financing cash outflow,Interest expense,3.322998783405991
31,Financing cash outflow,Dividends paid,7.414714491418502
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.012808050014943808
37,Operating Revenue,Cash on hand recovery,0.029433167558902733
38,Financing cash inflow,Monetized tax losses,0.5336487082148058
39,Financing cash inflow,Inflow of debt,2.121250344023041
40,Financing cash inflow,Inflow of equity,3.7985901278798995
41,Operating Revenue,Hydrogen sales,14.200847298036564
