,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010273754413441003
14,Financing cash outflow,Desalination,0.0008506795017632482
15,Operating Expenses,Desalination Fixed O&M Cost,0.003755827325380816
16,Financing cash outflow,Compression,0.008276347673312473
17,Operating Expenses,Water,0.011873350923482849
18,Operating Expenses,Cash on hand reserve,0.013092795216724972
19,Operating Expenses,Var O&M,0.07235785235254076
20,Operating Expenses,Property insurance,0.07271637907247283
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.11868486441796021
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18936584134854456
23,Financing cash outflow,Solar Plant,0.2279393423220903
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.33596399919677467
25,Financing cash outflow,Wind Plant,0.4854260195112743
26,Financing cash outflow,Electrolysis system,0.5604773005653872
27,Financing cash outflow,Income taxes payable,0.7422577235489656
28,Financing cash outflow,Hydrogen Storage,0.885027328307071
29,Financing cash outflow,Repayment of debt,1.11516488134285
30,Financing cash outflow,Interest expense,1.7197335786717747
31,Financing cash outflow,Dividends paid,3.1558811357006316
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.007722494796210928
37,Operating Revenue,Cash on hand recovery,0.013092795216724974
38,Financing cash inflow,Monetized tax losses,0.30050705535287114
39,Financing cash inflow,Inflow of debt,1.11516488134285
40,Financing cash inflow,Inflow of equity,1.8814287417518374
41,Operating Revenue,Hydrogen sales,6.401032016082643
