,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.00013965442151893135
17,Financing cash outflow,Desalination,0.0009250846297149819
18,Operating Expenses,Desalination Fixed O&M Cost,0.0040843327285677265
19,Financing cash outflow,Compression,0.007866660257374763
20,Operating Expenses,Water,0.012612137203166228
21,Operating Expenses,Cash on hand reserve,0.023629417110585377
22,Operating Expenses,Property insurance,0.049567160056981585
23,Operating Expenses,Var O&M,0.07374292251060412
24,Financing cash outflow,Hydrogen Storage,0.09992040765353119
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20592882379495545
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.4959111973053745
27,Financing cash outflow,Wind Plant,0.668326834508057
28,Financing cash outflow,Electrolysis system,0.6986948251275794
29,Financing cash outflow,Repayment of debt,1.0131800653124077
30,Financing cash outflow,Interest expense,1.1843269235334783
31,Financing cash outflow,Dividends paid,1.1914303727749755
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.0045280525572156125
36,Operating Revenue,Cash on hand recovery,0.023629417110585377
37,Financing cash inflow,One time capital incentive,0.049960203826765595
38,Operating Revenue,Hydrogen sales,0.520102657533555
39,Financing cash inflow,Inflow of debt,1.0131800653124077
40,Financing cash inflow,Inflow of equity,2.492977359784803
41,Financing cash inflow,Monetized tax losses,2.6661143778706506
