,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Compression,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Operating Expenses,Administrative expenses,0.0
7,Financing cash outflow,Hydrogen Storage,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00011370520891750185
15,Financing cash outflow,Desalination,0.0003765972460594557
16,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
17,Operating Expenses,Cash on hand reserve,0.012481103280394179
18,Operating Expenses,Water,0.01261213720316623
19,Operating Expenses,Property insurance,0.02920371199067549
20,Operating Expenses,Var O&M,0.07527468904833468
21,Financing cash outflow,Income taxes payable,0.07608930610676234
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.09978904902013597
24,Financing cash outflow,Solar Plant,0.19217877399728223
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.21153808031179183
26,Financing cash outflow,Electrolysis system,0.292353154675969
27,Financing cash outflow,Wind Plant,0.3840068299371601
28,Financing cash outflow,Repayment of debt,0.5531092436459667
29,Financing cash outflow,Dividends paid,0.7496196221769976
30,Financing cash outflow,Interest expense,0.7974081952396429
31,Operating Expenses,Grid Electricity Cost,2.0184661456497186
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.0001137052089179356
36,Financing cash inflow,One time capital incentive,0.011530726439836932
37,Operating Revenue,Cash on hand recovery,0.012481103280394177
38,Financing cash inflow,Monetized tax losses,0.3816578060308622
39,Financing cash inflow,Inflow of debt,0.5531092436459666
40,Financing cash inflow,Inflow of equity,0.8326272418484937
41,Operating Revenue,Hydrogen sales,3.7985958057885014
