,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.00010353333275520208
17,Financing cash outflow,Desalination,0.0007885233118550022
18,Operating Expenses,Desalination Fixed O&M Cost,0.003481402097060313
19,Operating Expenses,Water,0.01187335092348285
20,Financing cash outflow,Compression,0.01873539189538137
21,Operating Expenses,Cash on hand reserve,0.036420131167994044
22,Operating Expenses,Var O&M,0.06750142073147682
23,Operating Expenses,Property insurance,0.13049501146610767
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18447155096990886
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.4985025610563564
26,Financing cash outflow,Wind Plant,0.8047585325942198
27,Financing cash outflow,Electrolysis system,1.0426156274803806
28,Financing cash outflow,Repayment of debt,1.499740550296837
29,Financing cash outflow,Hydrogen Storage,2.0215477714424472
30,Financing cash outflow,Dividends paid,2.190655764494905
31,Financing cash outflow,Interest expense,2.2271316865822315
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.006652046805777297
36,Operating Revenue,Cash on hand recovery,0.036420131167994044
37,Financing cash inflow,One time capital incentive,1.0107738857212236
38,Financing cash inflow,Inflow of debt,1.499740550296837
39,Operating Revenue,Hydrogen sales,2.7025745105140455
40,Financing cash inflow,Monetized tax losses,2.7384142491615715
41,Financing cash inflow,Inflow of equity,2.744247436175952
