,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Operating Expenses,Administrative expenses,0.0
7,Financing cash outflow,Hydrogen Storage,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00011370520891750185
15,Financing cash outflow,Desalination,0.0003765972460594557
16,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
17,Financing cash outflow,Compression,0.008514246043742539
18,Operating Expenses,Water,0.011873350923482847
19,Operating Expenses,Cash on hand reserve,0.021272632929969306
20,Operating Expenses,Property insurance,0.021684489933628835
21,Financing cash outflow,Wind Plant,0.05974661399519545
22,Operating Expenses,Var O&M,0.0752748738237094
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.13985740696852725
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.22153806229016743
26,Financing cash outflow,Repayment of debt,0.2612117515787049
27,Financing cash outflow,Solar Plant,0.2838082014580846
28,Financing cash outflow,Electrolysis system,0.292353154675969
29,Financing cash outflow,Interest expense,0.530706380758821
30,Financing cash outflow,Dividends paid,0.9750661158869607
31,Operating Expenses,Grid Electricity Cost,3.590587740790686
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001137052089179356
37,Operating Revenue,Cash on hand recovery,0.021272632929969303
38,Financing cash inflow,Inflow of debt,0.2612117515787049
39,Financing cash inflow,Inflow of equity,1.3175385300827414
40,Financing cash inflow,Monetized tax losses,1.7475335358457997
41,Operating Revenue,Hydrogen sales,3.2318104563704915
