,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Operating Expenses,Administrative expenses,0.0
7,Financing cash outflow,Hydrogen Storage,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00011370738844397688
15,Financing cash outflow,Desalination,0.0003583490655106063
16,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
17,Financing cash outflow,Compression,0.008514409246684989
18,Operating Expenses,Water,0.010791556728232192
19,Operating Expenses,Cash on hand reserve,0.014713180753050713
20,Operating Expenses,Property insurance,0.019693923025883138
21,Operating Expenses,Var O&M,0.07110411790168084
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.12280397951949502
24,Financing cash outflow,Electrolysis system,0.17550587779570587
25,Financing cash outflow,Wind Plant,0.20044162120438758
26,Financing cash outflow,Solar Plant,0.2006480576482416
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.20769591448173155
28,Financing cash outflow,Repayment of debt,0.3870808190487367
29,Financing cash outflow,Interest expense,0.543029750203858
30,Financing cash outflow,Dividends paid,0.8421043332409723
31,Operating Expenses,Grid Electricity Cost,2.5179821930648005
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001137073884443022
37,Operating Revenue,Cash on hand recovery,0.014713180753050713
38,Financing cash inflow,Inflow of debt,0.3870808190487367
39,Operating Revenue,Hydrogen sales,1.286503479361452
40,Financing cash inflow,Inflow of equity,1.642816386594391
41,Financing cash inflow,Monetized tax losses,2.0767705442207713
