,0
Useful Life,30.0
Wind Cost ($/kW),1506.3840000000002
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),923.5452800000002
Wind capacity (MW),1290.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1160.0
Total Electricity Production (kWh),4532831162.10833
Debt Equity,60.0
ATB Year,2025.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.6
Ren PTC first year ($/kg),0.28720555440289136
Wind PTC,0.0051
Discount Rate,0.07
NPV Wind Expenses,-2620711986.212888
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),40.414028420618145
Grid Price ($/MWh),0.0
Electricity CF (-),0.4460745514592496
"Wind plant CF (-),",0.4017441612521192
Solar plant CF (-),0.0
LCOH ($/kg),9.079603665246253
Electrolyzer CF (-),0.43256807739340947
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),34283.0
Number of stack clusters (-),29.0
Hydrogen storage duration (hr),347.7725616908453
Hydrogen storage capacity (kg),9189004.514679838
Hydrogen storage CAPEX ($/kg),531.2211506205971
Hydrogen annual production (kg),80490918.68997523
Hydrogen production total CAPEX ($),7943085468.622561
Hydrogen transmission total CAPEX ($),64128864.56842606
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),4.257468303835853
LCOH: Electrolyzer CAPEX ($/kg),2.1756308471515133
LCOH: Desalination CAPEX ($/kg),0.0016454152381310796
LCOH: Electrolyzer FOM ($/kg),0.18447155096990886
LCOH:Desalination FOM ($/kg),0.003481402097060313
LCOH: Electrolyzer VOM ($/kg),0.06750142073147682
LCOH: Wind Plant CAPEX ($/kg),1.6792933482606158
LCOH: Wind Plant FOM ($/kg),0.4985025610563564
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.14039749146230368
LCOH: Water consumption ($/kg),0.01187335092348285
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.18063083980609837
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),22.029894921126814
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),22.029894921126775
Steel Price with Integration ($/tonne),1248.31789003801
Steel price: EAF and Casting CAPEX ($/tonne),6.1846605203270215
Steel price: Shaft Furnace CAPEX ($/tonne),3.4885914573058656
Steel price: Oxygen Supply CAPEX ($/tonne),0.4226467940682507
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2404107671350578
Steel price: Cooling Tower CAPEX ($/tonne),0.5204204312173325
Steel price: Piping CAPEX ($/tonne),1.536592542451001
Steel price: Electrical & Instrumentation ($/tonne),1.0243950291676431
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3163713842457856
Steel price: Miscellaneous CAPEX ($/tonne),1.024395437513275
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),4.338771601692345
Steel price: Administrative & Support Labor Cost ($/tonne),19.884669081148818
Steel price: Installation Cost ($/tonne),6.817916764262699
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.0892359999999996
Steel price: Carbon ($/tonne),11.722482
Steel price: Iron Ore ($/tonne),360.9158904000001
Steel price: Hydrogen ($/tonne),598.890657759643
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),70.53153919434001
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),14.082272165248728
Steel price: Equipment Financing ($/tonne),52.45316571429208
Steel price: Remaining Financial ($/tonne),10.055090618058742
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1261.2133154536787
(-) Steel price: BOS savings ($/tonne),5.965400724344645
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),1.791264188574719
Ammonia price: Electricity ($/kg),0.06802476509441033
Ammonia price: Cooling water ($/kg),0.00022156570799999995
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.006376797354401857
Ammonia price: Equipment Financing ($/kg),0.02446415901138886
Ammonia price: Remaining Financial ($/kg),0.004544589367441984
Ammonia price: Total ($/kg),1.9348544230992135
