,0
Useful Life,30.0
Wind Cost ($/kW),1844.0
Solar Cost ($/kW),1014.05
Electrolyzer Installed Cost ($/kW),1062.5219651928885
Wind capacity (MW),1284.0
Solar capacity (MW),300.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1160.0
Total Electricity Production (kWh),4528532047.001116
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-103836253.46444874
NPV Solar Expenses,-377966792.6549007
NPV HVDC Expenses,0.0
LCOE ($/MWh),54.95354391025545
Grid Price ($/MWh),0.0
Electricity CF (-),0.4456514768344647
Wind plant CF (-),0.35248332549818717
Wind annual energy (MWh),3909096.4771069754
Solar plant CF (-),0.23896088316009823
Solar annual energy (MWh),627989.200944738
LCOH ($/kg),5.713483477249204
Electrolyzer CF (-),0.43346889938830746
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),35785.0
Number of stack clusters (-),27.0
Hydrogen storage duration (hr),406.17014163581945
Hydrogen storage capacity (kg),10750226.84854053
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),81793950.82193056
Hydrogen production total CAPEX ($),4183471705.076921
Hydrogen transmission total CAPEX ($),37831484.318625495
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.22681723236685045
LCOH: Electrolyzer CAPEX ($/kg),2.0686758023392287
LCOH: Desalination CAPEX ($/kg),0.0016383104717706078
LCOH: Electrolyzer FOM ($/kg),0.18392764606225964
LCOH:Desalination FOM ($/kg),0.003647967733009072
LCOH: Electrolyzer VOM ($/kg),0.07295476141224685
LCOH: Wind Plant CAPEX ($/kg),1.9385125088717916
LCOH: Wind Plant FOM ($/kg),0.49815653388175146
LCOH: Solar Plant CAPEX ($/kg),0.2490710728431488
LCOH: Solar Plant FOM ($/kg),0.06689178938147913
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.2329251376975893
LCOH: Water consumption ($/kg),0.011655677691341558
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.15860903649673874
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),24.00538329583166
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),24.00538329583164
Steel Price with Integration ($/tonne),1186.9065565088013
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.308599303666794
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.5171829269372683
Steel price: Carbon ($/tonne),12.31665039114391
Steel price: Iron Ore ($/tonne),471.3075301549815
Steel price: Hydrogen ($/tonne),376.8613701593574
Steel price: Natural gas ($/tonne),4.71931760944037
Steel price: Electricity ($/tonne),53.565695363986194
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),30.20465582996364
Steel price: Equipment Financing ($/tonne),93.74956438496814
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1200.2549892319419
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.1271811768594728
Ammonia price: Electricity ($/kg),0.011855584824890198
Ammonia price: Cooling water ($/kg),0.00021750376086284866
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.010837585757187778
Ammonia price: Equipment Financing ($/kg),0.037481774515091576
Ammonia price: Remaining Financial ($/kg),0.006147155674344377
Ammonia price: Total ($/kg),1.229939336234196
