,0
Useful Life,30.0
Wind Cost ($/kW),1467.0
Solar Cost ($/kW),628.6194029850745
Electrolyzer Installed Cost ($/kW),280.54656
Wind capacity (MW),1278.0
Solar capacity (MW),750.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1400.0
Total Electricity Production (kWh),4528401560.222723
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2543970838.236952
NPV Solar Expenses,-649967899.7015951
NPV HVDC Expenses,0.0
LCOE ($/MWh),49.62115004902289
Grid Price ($/MWh),0.0
Electricity CF (-),0.3692434409835807
Wind plant CF (-),0.30292939467679797
Wind annual energy (MWh),3325037.856203044
Solar plant CF (-),0.18381567601027382
Solar annual energy (MWh),1207668.991387499
LCOH ($/kg),3.8074566951790696
Electrolyzer CF (-),0.36308903754303884
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),34426.0
Number of stack clusters (-),38.0
Hydrogen storage duration (hr),307.737548359613
Hydrogen storage capacity (kg),9918570.066722939
Hydrogen storage CAPEX ($/kg),17.362965447836295
Hydrogen annual production (kg),82896289.67188823
Hydrogen production total CAPEX ($),2943208234.9633408
Hydrogen transmission total CAPEX ($),27881295.826170254
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.1603109774096713
LCOH: Electrolyzer CAPEX ($/kg),0.7334618899091014
LCOH: Desalination CAPEX ($/kg),0.0019191118791402567
LCOH: Electrolyzer FOM ($/kg),0.21883095944875566
LCOH:Desalination FOM ($/kg),0.0043402299553285005
LCOH: Electrolyzer VOM ($/kg),0.07192315056239573
LCOH: Wind Plant CAPEX ($/kg),1.4898332926670785
LCOH: Wind Plant FOM ($/kg),0.43485560722736627
LCOH: Solar Plant CAPEX ($/kg),0.3746500135147208
LCOH: Solar Plant FOM ($/kg),0.1175589426009856
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.08159118574868059
LCOH: Water consumption ($/kg),0.010791556728232192
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.10738977752761279
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),25.676606537125878
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),25.676606537125867
Steel Price with Integration ($/tonne),998.9589134322699
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),7.292422834200351
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.2519536
Steel price: Carbon ($/tonne),11.21192
Steel price: Iron Ore ($/tonne),431.08854930000007
Steel price: Hydrogen ($/tonne),251.1398436140114
Steel price: Natural gas ($/tonne),2.3201363077222585
Steel price: Electricity ($/tonne),37.903533687284224
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),30.92931398804695
Steel price: Equipment Financing ($/tonne),97.24598223103605
Steel price: Remaining Financial ($/tonne),10.06676900437472
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1012.5237183881085
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.7511518210567556
Ammonia price: Electricity ($/kg),0.00840758446250013
Ammonia price: Cooling water ($/kg),0.00020137861015999997
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.00806923015284356
Ammonia price: Equipment Financing ($/kg),0.027840850359005957
Ammonia price: Remaining Financial ($/kg),0.004544589367441986
Ammonia price: Total ($/kg),0.8317871636969569
