,0
Useful Life,30.0
Wind Cost ($/kW),1690.7
Solar Cost ($/kW),1193.0
Electrolyzer Installed Cost ($/kW),1062.5219651928883
Wind capacity (MW),838.3000000000001
Solar capacity (MW),700.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1240.0
Total Electricity Production (kWh),4545999788.841376
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-142029218.2095347
NPV Solar Expenses,-962345559.2198156
NPV HVDC Expenses,0.0
LCOE ($/MWh),45.90520817549145
Grid Price ($/MWh),0.0
Electricity CF (-),0.4185078609553479
Wind plant CF (-),0.43193674693969036
Wind annual energy (MWh),3109120.442652609
Solar plant CF (-),0.23505554334896475
Solar annual energy (MWh),1441360.5918158519
LCOH ($/kg),6.887413580849273
Electrolyzer CF (-),0.4154968984368922
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),41069.0
Number of stack clusters (-),22.0
Hydrogen storage duration (hr),65.25578680687806
Hydrogen storage capacity (kg),1856215.2596327576
Hydrogen storage CAPEX ($/kg),713.5414961422341
Hydrogen annual production (kg),82664106.30207829
Hydrogen production total CAPEX ($),4924691164.956741
Hydrogen transmission total CAPEX ($),32543733.457558833
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),1.1917634722042294
LCOH: Electrolyzer CAPEX ($/kg),2.3797459175235867
LCOH: Desalination CAPEX ($/kg),0.0018846658584315541
LCOH: Electrolyzer FOM ($/kg),0.19329578208998385
LCOH:Desalination FOM ($/kg),0.003833772633355645
LCOH: Electrolyzer VOM ($/kg),0.07199970945234835
LCOH: Wind Plant CAPEX ($/kg),1.248771982177595
LCOH: Wind Plant FOM ($/kg),0.29769922796844356
LCOH: Solar Plant CAPEX ($/kg),0.7357929309363815
LCOH: Solar Plant FOM ($/kg),0.15344801249582896
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.4547099687721593
LCOH: Water consumption ($/kg),0.008292914934426387
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.14617522380250153
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),25.32460021540068
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),25.32460021540068
Steel Price with Integration ($/tonne),1243.7288126391336
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.179208281949454
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.8134449269372688
Steel price: Carbon ($/tonne),14.35889839114391
Steel price: Iron Ore ($/tonne),449.6056537549815
Steel price: Hydrogen ($/tonne),454.29379979281794
Steel price: Natural gas ($/tonne),4.637505368997207
Steel price: Electricity ($/tonne),53.09222878373024
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),30.047808769966075
Steel price: Equipment Financing ($/tonne),93.34427418425443
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1257.0772453622742
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.358779276511941
Ammonia price: Electricity ($/kg),0.011706726061741664
Ammonia price: Cooling water ($/kg),0.0001547520645747896
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.011447239706002893
Ammonia price: Equipment Financing ($/kg),0.039240628525931145
Ammonia price: Remaining Financial ($/kg),0.006147155674344374
Ammonia price: Total ($/kg),1.4636943333868822
