,0
Useful Life,30.0
Wind Cost ($/kW),0.0
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),1790.411766360282
Wind capacity (MW),0.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),480.0
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60.0
ATB Year,2025.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),15.718679098915802
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0332046
Discount Rate,0.07
NPV Wind Expenses,0.0
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),0.0
Grid Price ($/MWh),119.288576
Electricity CF (-),1.0
Wind plant CF (-),0.0
Wind annual energy (MWh),0.0
Solar plant CF (-),0.0
Solar annual energy (MWh),0.0
LCOH ($/kg),9.771457285916982
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),0.0
Average stack life (hrs),78052.0
Number of stack clusters (-),12.0
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0.0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),860225660.1525581
Hydrogen transmission total CAPEX ($),46843841.12207222
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),1.4559455828639702
LCOH: Desalination CAPEX ($/kg),0.0009674304845593787
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),0.0
LCOH: Wind Plant FOM ($/kg),0.0
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.15265651474630576
LCOH: Water consumption ($/kg),0.012824095259422248
LCOH: Grid electricity ($/kg),7.767549888501346
LCOH: Bulk H2 Transmission ($/kg),0.220743797509045
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),1406.3712129394628
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),6.855428846600305
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.323661326937269
Steel price: Carbon ($/tonne),12.780406391143911
Steel price: Iron Ore ($/tonne),403.2203368549814
Steel price: Hydrogen ($/tonne),644.5253225790841
Steel price: Natural gas ($/tonne),4.752485999362846
Steel price: Electricity ($/tonne),74.22178989784827
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),30.002908456596504
Steel price: Equipment Financing ($/tonne),93.3328822025529
Steel price: Remaining Financial ($/tonne),8.74427189987843
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1419.7196456626039
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.9277561170921316
Ammonia price: Electricity ($/kg),0.016186856648873
Ammonia price: Cooling water ($/kg),0.00023930731635276743
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.0129850864470637
Ammonia price: Equipment Financing ($/kg),0.04367732234843214
Ammonia price: Remaining Financial ($/kg),0.006147155674344376
Ammonia price: Total ($/kg),2.043210400369544
