,0
Useful Life,30.0
Wind Cost ($/kW),1366.2
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),280.54656
Wind capacity (MW),1290.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1160.0
Total Electricity Production (kWh),4532831162.10833
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2623937540.3947988
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),40.261887124494606
Grid Price ($/MWh),0.0
Electricity CF (-),0.4460745514592496
Wind plant CF (-),0.4017441612521192
Wind annual energy (MWh),4532831.1621083105
Solar plant CF (-),0.0
Solar annual energy (MWh),0.0
LCOH ($/kg),10.241916264245818
Electrolyzer CF (-),0.4309153538562224
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),34283.0
Number of stack clusters (-),29.0
Hydrogen storage duration (hr),347.7725616908453
Hydrogen storage capacity (kg),9189004.514679838
Hydrogen storage CAPEX ($/kg),531.2211506205971
Hydrogen annual production (kg),80490918.68997523
Hydrogen production total CAPEX ($),7016466590.670174
Hydrogen transmission total CAPEX ($),30863456.46767495
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),5.499185986670632
LCOH: Electrolyzer CAPEX ($/kg),0.8536482361307457
LCOH: Desalination CAPEX ($/kg),0.0022335809032541145
LCOH: Electrolyzer FOM ($/kg),0.18517551972821775
LCOH:Desalination FOM ($/kg),0.003672717698366351
LCOH: Electrolyzer VOM ($/kg),0.07350545807847014
LCOH: Wind Plant CAPEX ($/kg),1.967216413302814
LCOH: Wind Plant FOM ($/kg),0.469129608048527
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),1.0535090748771714
LCOH: Water consumption ($/kg),0.011873350923482845
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.12276631788413335
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),22.029894921126814
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),22.029894921126775
Steel Price with Integration ($/tonne),1363.1077404320592
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),6.825835366776361
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.089236
Steel price: Carbon ($/tonne),11.722482
Steel price: Iron Ore ($/tonne),360.9158904
Steel price: Hydrogen ($/tonne),675.5567967896541
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),46.29251138303023
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),31.204080653697737
Steel price: Equipment Financing ($/tonne),98.20894070657413
Steel price: Remaining Financial ($/tonne),10.06676900437472
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1376.6725453878978
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),2.020570335767726
Ammonia price: Electricity ($/kg),0.045003149428380955
Ammonia price: Cooling water ($/kg),0.00022156570799999995
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.011973610454047207
Ammonia price: Equipment Financing ($/kg),0.03910500269651111
Ammonia price: Remaining Financial ($/kg),0.004544589367441985
Ammonia price: Total ($/kg),2.161376611410959
