,0
Useful Life,30.0
Wind Cost ($/kW),1536.0
Solar Cost ($/kW),882.3
Electrolyzer Installed Cost ($/kW),280.54656000000006
Wind capacity (MW),1254.0
Solar capacity (MW),750.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1520.0
Total Electricity Production (kWh),4532597369.646872
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2637039028.7768908
NPV Solar Expenses,-809582572.6086497
NPV HVDC Expenses,0.0
LCOE ($/MWh),53.65361429267753
Grid Price ($/MWh),0.0
Electricity CF (-),0.34040775727340045
"Wind plant CF (-),",0.30292939467679797
Solar plant CF (-),0.18381567601027382
LCOH ($/kg),4.65603675533003
Electrolyzer CF (-),0.3424377303225434
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),37356.0
Number of stack clusters (-),38.0
Hydrogen storage duration (hr),282.70716710117176
Hydrogen storage capacity (kg),10003034.352890773
Hydrogen storage CAPEX ($/kg),17.362965447836295
Hydrogen annual production (kg),83494838.0369267
Hydrogen production total CAPEX ($),3249757050.149869
Hydrogen transmission total CAPEX ($),65062677.501906775
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.20812094675608525
LCOH: Electrolyzer CAPEX ($/kg),0.7809666170521141
LCOH: Desalination CAPEX ($/kg),0.0022288971231160387
LCOH: Electrolyzer FOM ($/kg),0.23302485991153257
LCOH:Desalination FOM ($/kg),0.004397714616144402
LCOH: Electrolyzer VOM ($/kg),0.06605059305407204
LCOH: Wind Plant CAPEX ($/kg),1.720754149100327
LCOH: Wind Plant FOM ($/kg),0.4379593011634172
LCOH: Solar Plant CAPEX ($/kg),0.5911635055911779
LCOH: Solar Plant FOM ($/kg),0.1616897414065424
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.2715152849272556
LCOH: Water consumption ($/kg),0.010791556728232192
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.16737358790001397
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),26.584047963806395
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),26.584047963806395
Steel Price with Integration ($/tonne),1015.2782394256415
Steel price: EAF and Casting CAPEX ($/tonne),6.1846605203270215
Steel price: Shaft Furnace CAPEX ($/tonne),3.4885914573058656
Steel price: Oxygen Supply CAPEX ($/tonne),0.4226467940682507
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2404107671350578
Steel price: Cooling Tower CAPEX ($/tonne),0.5204204312173325
Steel price: Piping CAPEX ($/tonne),1.536592542451001
Steel price: Electrical & Instrumentation ($/tonne),1.0243950291676431
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3163713842457856
Steel price: Miscellaneous CAPEX ($/tonne),1.024395437513275
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),4.338771601692345
Steel price: Administrative & Support Labor Cost ($/tonne),19.884669081148818
Steel price: Installation Cost ($/tonne),7.2839629469216955
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.2519536
Steel price: Carbon ($/tonne),11.211920000000001
Steel price: Iron Ore ($/tonne),431.08854930000007
Steel price: Hydrogen ($/tonne),307.1121843815688
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),59.87676681503999
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),13.852861771896446
Steel price: Equipment Financing ($/tonne),51.78531056999178
Steel price: Remaining Financial ($/tonne),10.055090618058742
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1028.173664841311
(-) Steel price: BOS savings ($/tonne),5.965400724344645
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.9185634316213418
Ammonia price: Electricity ($/kg),0.05774867589353187
Ammonia price: Cooling water ($/kg),0.00020137861015999997
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.004317656317750048
Ammonia price: Equipment Financing ($/kg),0.018896851764145087
Ammonia price: Remaining Financial ($/kg),0.004544589367441986
Ammonia price: Total ($/kg),1.0442309415632225
