,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.000101010644046949
14,Financing cash outflow,Desalination,0.0010594153717400417
15,Operating Expenses,Desalination Fixed O&M Cost,0.004677415165009006
16,Operating Expenses,Water,0.010791556728232189
17,Operating Expenses,Cash on hand reserve,0.015611960518050617
18,Financing cash outflow,Compression,0.023951643916412548
19,Financing cash outflow,Hydrogen Storage,0.07017506002839384
20,Operating Expenses,Var O&M,0.07144993155746458
21,Operating Expenses,Property insurance,0.09536868225563183
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.13907808825867232
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2358315708692928
24,Financing cash outflow,Solar Plant,0.23989274150373913
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.4727833417002148
26,Financing cash outflow,Income taxes payable,0.6460364891484192
27,Financing cash outflow,Wind Plant,0.8978181600359872
28,Financing cash outflow,Repayment of debt,1.323793786984806
29,Financing cash outflow,Electrolysis system,1.614060720496852
30,Financing cash outflow,Interest expense,1.9862057518318088
31,Financing cash outflow,Dividends paid,2.844170140298804
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.015611960518050617
37,Operating Revenue,Sale of non-depreciable assets,0.022044362975876884
38,Financing cash inflow,Monetized tax losses,0.3655959504706302
39,Financing cash inflow,Inflow of debt,1.3237937869848062
40,Financing cash inflow,Inflow of equity,2.0350980967007986
41,Operating Revenue,Hydrogen sales,6.930713309663416
