,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Operating Expenses,Administrative expenses,0.0
7,Financing cash outflow,Hydrogen Storage,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00011370738844397688
15,Financing cash outflow,Desalination,0.0003583490655106063
16,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
17,Operating Expenses,Water,0.007678100263852243
18,Financing cash outflow,Compression,0.008514409246684989
19,Operating Expenses,Property insurance,0.009834314623188671
20,Operating Expenses,Cash on hand reserve,0.013202670113576898
21,Financing cash outflow,Wind Plant,0.053947677056135485
22,Operating Expenses,Var O&M,0.07110411790168084
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
24,Financing cash outflow,Electrolysis system,0.08881020322192346
25,Operating Expenses,Solar Plant Fixed O&M Cost,0.12280397951949502
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.20769591448173155
27,Financing cash outflow,Repayment of debt,0.23917309855970192
28,Financing cash outflow,Solar Plant,0.2478593653301808
29,Financing cash outflow,Interest expense,0.29725886524282696
30,Financing cash outflow,Dividends paid,0.6761597579457814
31,Operating Expenses,Grid Electricity Cost,2.482804047188349
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001137073884443022
37,Operating Revenue,Cash on hand recovery,0.0132026701135769
38,Financing cash inflow,Inflow of debt,0.23917309855970195
39,Operating Revenue,Hydrogen sales,0.45739153825683776
40,Financing cash inflow,Inflow of equity,1.6354977643768869
41,Financing cash inflow,Monetized tax losses,2.1594607713907763
