,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.0001041400170938836
16,Financing cash outflow,Desalination,0.001092236723797658
17,Operating Expenses,Desalination Fixed O&M Cost,0.004822324417739827
18,Operating Expenses,Cash on hand reserve,0.009686383227416861
19,Operating Expenses,Water,0.01079155672823219
20,Financing cash outflow,Compression,0.01234653743739206
21,Operating Expenses,Property insurance,0.052951232936475946
22,Operating Expenses,Var O&M,0.07336098099155744
23,Financing cash outflow,Hydrogen Storage,0.10959058239502706
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.24313778070943187
25,Financing cash outflow,Income taxes payable,0.32918893001983407
26,Financing cash outflow,Electrolysis system,0.36869131432182267
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.5807185933178525
28,Financing cash outflow,Repayment of debt,0.9598179829819352
29,Financing cash outflow,Wind Plant,1.0852518825591997
30,Financing cash outflow,Interest expense,1.413618482458531
31,Financing cash outflow,Dividends paid,1.524096457625925
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.002419835250875879
37,Operating Revenue,Cash on hand recovery,0.009686383227416861
38,Financing cash inflow,Monetized tax losses,0.28823495477781325
39,Financing cash inflow,Inflow of debt,0.9598179829819352
40,Financing cash inflow,Inflow of equity,1.4059440799463432
41,Operating Revenue,Hydrogen sales,4.113164162684881
