,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Wind Plant,0.0
2,Financing cash outflow,Hydrogen Storage,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
5,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
6,Operating Expenses,Wind Plant Fixed O&M Cost,0.0
7,Operating Expenses,Licensing and Permitting,0.0
8,Financing cash outflow,Solar Plant,0.0
9,Operating Expenses,Administrative expenses,0.0
10,Operating Expenses,Labor,0.0
11,Operating Expenses,Total annual maintenance,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Sales tax,0.0
14,Operating Expenses,Credit card fees,0.0
15,Operating Expenses,Road tax,0.0
16,Operating Expenses,Installation cost,0.0
17,Operating Expenses,Non-depreciable assets,0.00011370520891750185
18,Financing cash outflow,Desalination,0.0003765972460594557
19,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
20,Financing cash outflow,Compression,0.008514246043742539
21,Operating Expenses,Water,0.011873350923482847
22,Operating Expenses,Property insurance,0.013965281932956347
23,Operating Expenses,Cash on hand reserve,0.03343350724434446
24,Operating Expenses,Var O&M,0.0752748738237094
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
26,Financing cash outflow,Repayment of debt,0.13307939552184034
27,Financing cash outflow,Income taxes payable,0.18592856462260024
28,Financing cash outflow,Interest expense,0.20289283741724629
29,Financing cash outflow,Electrolysis system,0.40583068363061575
30,Financing cash outflow,Dividends paid,0.7729084431122553
31,Operating Expenses,Grid Electricity Cost,8.800353414916026
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891739342
37,Financing cash inflow,Monetized tax losses,0.028665576093929893
38,Operating Revenue,Cash on hand recovery,0.03343350724434446
39,Financing cash inflow,Inflow of debt,0.13307939552184034
40,Financing cash inflow,Inflow of equity,0.31920411023972006
41,Operating Revenue,Hydrogen sales,10.215543894839044
