,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Compression,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
5,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Financing cash outflow,Solar Plant,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Sales tax,0.0
16,Operating Expenses,Non-depreciable assets,0.00011370520891750185
17,Financing cash outflow,Desalination,0.0003765972460594557
18,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
19,Operating Expenses,Water,0.008292914934426389
20,Operating Expenses,Cash on hand reserve,0.013674590250111088
21,Operating Expenses,Property insurance,0.028139228737550162
22,Operating Expenses,Var O&M,0.07527468904833468
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Financing cash outflow,Electrolysis system,0.12159541231317987
25,Financing cash outflow,Income taxes payable,0.19037480685358515
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.25428336136789875
27,Financing cash outflow,Repayment of debt,0.5765794588648009
28,Financing cash outflow,Wind Plant,0.7152155552620678
29,Financing cash outflow,Dividends paid,0.8400970962631358
30,Financing cash outflow,Interest expense,0.8420913007124075
31,Operating Expenses,Grid Electricity Cost,2.6339874097592224
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891771872
37,Operating Revenue,Cash on hand recovery,0.01367459025011109
38,Financing cash inflow,Monetized tax losses,0.18438577117645016
39,Financing cash inflow,Inflow of debt,0.5765794588648009
40,Financing cash inflow,Inflow of equity,0.8228187050671742
41,Operating Revenue,Hydrogen sales,4.788019183758242
