,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Compression,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
5,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Financing cash outflow,Solar Plant,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Sales tax,0.0
16,Operating Expenses,Non-depreciable assets,0.00011370520891750185
17,Financing cash outflow,Desalination,0.0003765972460594557
18,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
19,Operating Expenses,Water,0.007678100263852243
20,Operating Expenses,Cash on hand reserve,0.015407747299941075
21,Operating Expenses,Property insurance,0.03416169100750767
22,Operating Expenses,Var O&M,0.07527468904833468
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.19726224397024872
25,Financing cash outflow,Income taxes payable,0.23225897191186445
26,Financing cash outflow,Electrolysis system,0.41408725627860243
27,Financing cash outflow,Wind Plant,0.6022281082492276
28,Financing cash outflow,Repayment of debt,0.6132296061684492
29,Financing cash outflow,Interest expense,0.9031875694638138
30,Financing cash outflow,Dividends paid,1.0971520894409068
31,Operating Expenses,Grid Electricity Cost,3.0019278260493576
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891728497
37,Operating Revenue,Cash on hand recovery,0.015407747299941075
38,Financing cash inflow,Monetized tax losses,0.17112073516052234
39,Financing cash inflow,Inflow of debt,0.6132296061684493
40,Financing cash inflow,Inflow of equity,0.9207680388909976
41,Operating Revenue,Hydrogen sales,5.559201656382255
