,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Operating Expenses,Administrative expenses,0.0
7,Financing cash outflow,Hydrogen Storage,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00011370738844397688
15,Financing cash outflow,Desalination,0.0003583490655106063
16,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
17,Financing cash outflow,Compression,0.008514409246684989
18,Operating Expenses,Water,0.01261213720316623
19,Operating Expenses,Cash on hand reserve,0.015767740969933677
20,Operating Expenses,Property insurance,0.020697873570104434
21,Operating Expenses,Var O&M,0.07110411790168084
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.12280397951949502
24,Financing cash outflow,Wind Plant,0.14850930200434295
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.20769591448173155
26,Financing cash outflow,Solar Plant,0.22425371148921117
27,Financing cash outflow,Electrolysis system,0.23375610745997202
28,Financing cash outflow,Repayment of debt,0.4070611412774128
29,Financing cash outflow,Interest expense,0.5617393468536289
30,Financing cash outflow,Dividends paid,0.8876266242071814
31,Operating Expenses,Grid Electricity Cost,2.429252006473822
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001137073884443022
37,Operating Revenue,Cash on hand recovery,0.015767740969933677
38,Financing cash inflow,Inflow of debt,0.4070611412774128
39,Operating Revenue,Hydrogen sales,1.029532761591274
40,Financing cash inflow,Inflow of equity,1.7825629456403909
41,Financing cash inflow,Monetized tax losses,2.2022444992942978
