,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Credit card fees,0.0
7,Operating Expenses,Road tax,0.0
8,Operating Expenses,Property insurance,0.0
9,Financing cash outflow,Capital gains taxes payable,0.0
10,Operating Expenses,Non-depreciable assets,0.031504065040650425
11,Financing cash outflow,H2 Pre-heating,0.24146285436099357
12,Financing cash outflow,Oxygen Supply,0.4267295347505221
13,Operating Expenses,Raw Water Withdrawal,0.4764879063000003
14,Financing cash outflow,Cooling Tower,0.5256042747223729
15,Financing cash outflow,Electrical & Instrumentation,1.0354242369575426
16,Financing cash outflow,Other Miscellaneous Costs,1.035424649699651
17,Financing cash outflow,Piping,1.5531363541218484
18,Operating Expenses,Lime,2.2124520000000016
19,Financing cash outflow,"Buildings, Storage, Water Service",2.3301549395635575
20,Operating Expenses,Natural Gas,2.716709262358008
21,Operating Expenses,Cash on hand reserve,2.883395731025118
22,Financing cash outflow,Shaft Furnace,3.5020386748000365
23,Operating Expenses,Maintenance Labor Cost,4.381290589941046
24,Financing cash outflow,EAF & Casting,6.272738231278574
25,Operating Expenses,Slag Disposal,6.560037900000005
26,Operating Expenses,Installation cost,6.728755250259288
27,Operating Expenses,Maintenance Materials,7.720000000000004
28,Financing cash outflow,Repayment of debt,9.063853889286499
29,Operating Expenses,Property tax and insurance,10.153628250153059
30,Operating Expenses,Carbon,12.74898600000001
31,Operating Expenses,Administrative & Support Labor Cost,20.255882259801727
32,Financing cash outflow,Interest expense,20.93750248425181
33,Financing cash outflow,Income taxes payable,30.795419693987835
34,Operating Expenses,Electricity,56.63954948894444
35,Operating Expenses,Annual Operating Labor Cost,76.64223844926588
36,Financing cash outflow,Dividends paid,90.10575282962971
37,Operating Expenses,Iron Ore,337.8291345000002
38,Operating Expenses,Hydrogen,362.2115604626791
39,Operating Revenue,Take or pay revenue,0.0
40,Operating Revenue,Incidental revenue,0.0
41,Operating Revenue,Oxygen sales,0.0
42,Financing cash inflow,One time capital incentive,0.0
43,Financing cash inflow,Annual operating incentives,0.0
44,Operating Revenue,Sale of non-depreciable assets,0.03150406504065266
45,Operating Revenue,Cash on hand recovery,2.8833957310251175
46,Financing cash inflow,Monetized tax losses,4.451549825748398
47,Financing cash inflow,Inflow of debt,9.063853889286499
48,Financing cash inflow,Inflow of equity,20.83234116398144
49,Operating Revenue,Steel sales,1040.7542100880971
