,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Operating Expenses,Rent of land,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011370520891750185
16,Financing cash outflow,Desalination,0.0003765972460594557
17,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
18,Operating Expenses,Property insurance,0.005702826421244171
19,Operating Expenses,Water,0.007678100263852243
20,Financing cash outflow,Compression,0.008514246043742539
21,Operating Expenses,Cash on hand reserve,0.015208215235312721
22,Financing cash outflow,Wind Plant,0.04599698970526505
23,Financing cash outflow,Repayment of debt,0.05003995504994788
24,Financing cash outflow,Income taxes payable,0.06894268937707157
25,Operating Expenses,Var O&M,0.0752748738237094
26,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
27,Financing cash outflow,Interest expense,0.10163068657899485
28,Operating Expenses,Wind Plant Fixed O&M Cost,0.2007688689504642
29,Financing cash outflow,Electrolysis system,0.20555845196176703
30,Financing cash outflow,Dividends paid,0.2862728642767287
31,Operating Expenses,Grid Electricity Cost,3.640171722019062
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001137052089176374
37,Financing cash inflow,Monetized tax losses,0.010442378752388999
38,Operating Revenue,Cash on hand recovery,0.015208215235312723
39,Financing cash inflow,Inflow of debt,0.05003995504994788
40,Financing cash inflow,Inflow of equity,0.11749924085058527
41,Operating Revenue,Hydrogen sales,4.512448605158454
