,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011359416503074449
16,Financing cash outflow,Desalination,0.0009092212028380322
17,Operating Expenses,Desalination Fixed O&M Cost,0.004014294256951645
18,Operating Expenses,Water,0.007678100263852242
19,Operating Expenses,Cash on hand reserve,0.02030283797508772
20,Financing cash outflow,Compression,0.020556000103963523
21,Operating Expenses,Var O&M,0.07356121715358174
22,Operating Expenses,Property insurance,0.10261521315892272
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2023975394851793
24,Financing cash outflow,Electrolysis system,0.30691328443716026
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.459486929003996
26,Financing cash outflow,Wind Plant,0.8105375169195139
27,Financing cash outflow,Income taxes payable,1.2871618829594058
28,Financing cash outflow,Repayment of debt,1.5956453616083703
29,Financing cash outflow,Hydrogen Storage,1.9181859216871517
30,Financing cash outflow,Interest expense,2.4965289202450993
31,Financing cash outflow,Dividends paid,5.3833211614364895
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0020412707940915304
37,Operating Revenue,Cash on hand recovery,0.02030283797508772
38,Financing cash inflow,Monetized tax losses,0.41721063005340586
39,Financing cash inflow,Inflow of debt,1.5956453616083703
40,Financing cash inflow,Inflow of equity,2.873508417038683
41,Operating Revenue,Hydrogen sales,9.781220478592957
