,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Wind Plant,0.0
2,Financing cash outflow,Hydrogen Storage,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
5,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
6,Operating Expenses,Wind Plant Fixed O&M Cost,0.0
7,Operating Expenses,Licensing and Permitting,0.0
8,Financing cash outflow,Solar Plant,0.0
9,Operating Expenses,Administrative expenses,0.0
10,Operating Expenses,Labor,0.0
11,Operating Expenses,Total annual maintenance,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Sales tax,0.0
14,Operating Expenses,Credit card fees,0.0
15,Operating Expenses,Road tax,0.0
16,Operating Expenses,Installation cost,0.0
17,Operating Expenses,Non-depreciable assets,0.00011370738844397688
18,Financing cash outflow,Desalination,0.0003583490655106063
19,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
20,Operating Expenses,Property insurance,0.00819148808588892
21,Financing cash outflow,Compression,0.008514409246684989
22,Operating Expenses,Water,0.01261213720316623
23,Financing cash outflow,Income taxes payable,0.015093445038978257
24,Operating Expenses,Cash on hand reserve,0.021866864676133746
25,Operating Expenses,Var O&M,0.07110411790168084
26,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
27,Financing cash outflow,Repayment of debt,0.12885601050685005
28,Financing cash outflow,Interest expense,0.18121204539760782
29,Financing cash outflow,Dividends paid,0.2188302326700383
30,Financing cash outflow,Electrolysis system,0.23375610745997202
31,Operating Expenses,Grid Electricity Cost,6.877828598848778
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370738844408532
37,Operating Revenue,Cash on hand recovery,0.021866864676133746
38,Financing cash inflow,Inflow of debt,0.12885601050685008
39,Financing cash inflow,Inflow of equity,0.21262631806829255
40,Financing cash inflow,Monetized tax losses,0.28677144922737374
41,Operating Revenue,Hydrogen sales,7.213519490672069
