,0
ATB Year,2025.0
LCOE First Year ($/MWh),0.08689081059118917
LCOH ($/kg),3.309977092450426
Hydrogen storage duration (hr),4.0
Hydrogen annual production (kg),65959843.5
Hydrogen production total CAPEX ($),598322009.1164659
Hydrogen transmission total CAPEX ($),0.0
Steel Plant Total CAPEX ($),428750341.3304222
Ammonia Plant Total CAPEX ($),71189690.86394492
LCOH: Hydrogen Storage ($/kg),0.0012189687049102128
LCOH: Compression ($/kg),0.0177540534520719
LCOH: SMR plant CAPEX ($/kg),0.9675811868466215
LCOH: CO2 transportation and storage ($/kg),0.48152764
LCOH: SMR plant FOM ($/kg),0.3558621637948067
LCOH: SMR plant VOM ($/kg),0.041499999999999995
LCOH: Natural gas charges ($/kg),1.0381329011
LCOH: Electricity charges ($/kg),0.2067107768794452
LCOH: Taxes ($/kg),0.17058940167257
LCOH: Water charges ($/kg),0.029099999999999994
LCOH: Financial ($/kg),0.0
Steel annual production (tonne steel/year),899997.8646149181
Ammonia annual production (kgNH3/year),300904979.04185563
Steel price: EAF and Casting CAPEX ($/tonne),6.557112210606703
Steel price: Shaft Furnace CAPEX ($/tonne),3.5343225303367887
Steel price: Oxygen Supply CAPEX ($/tonne),0.43923011297456444
Steel price: H2 Pre-heating CAPEX ($/tonne),0.24412156391256717
Steel price: Cooling Tower CAPEX ($/tonne),0.5415522819405139
Steel price: Piping CAPEX ($/tonne),1.6046267313730436
Steel price: Electrical & Instrumentation ($/tonne),1.0697511551540577
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.368448848681997
Steel price: Miscellaneous CAPEX ($/tonne),1.0697515815796057
Steel price: Annual Operating Labor Cost ($/tonne),81.45721542150804
Steel price: Maintenance Labor Cost ($/tonne),4.512346615587342
Steel price: Administrative & Support Labor Cost ($/tonne),21.492390509273847
Steel price: Installation Cost ($/tonne),6.903209450298178
Steel price: Maintenance Materials ($/tonne),7.719999999999997
Steel price: Raw Water Withdrawal ($/tonne),0.4764879062999999
Steel price: Lime ($/tonne),2.212451999999999
Steel price: Carbon ($/tonne),12.748985999999999
Steel price: Iron Ore ($/tonne),337.8291344999999
Steel price: Hydrogen ($/tonne),218.32608901803007
Steel price: Natural gas ($/tonne),4.24659950471886
Steel price: Electricity ($/tonne),57.06830289363998
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),30.919882033132573
Steel price: Equipment Financing ($/tonne),97.77422640247555
Steel price: Remaining Financial ($/tonne),10.457350209935903
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),918.1336273814602
(-) Steel price: BOS savings ($/tonne),6.447717152782154
Ammonia price: Air Separation by Cryogenic ($/kg),0.002259058937527576
Ammonia price: Haber Bosch ($/kg),0.0018712786293733294
Ammonia price: Boiler and Steam Turbine ($/kg),0.0007095637864968247
Ammonia price: Cooling Tower ($/kg),0.0004817216511515697
Ammonia price: Depreciable Nonequipment ($/kg),0.002564553232949081
Ammonia price: Labor Cost ($/kg),0.01816724857229333
Ammonia price: Maintenance Cost ($/kg),0.000657173698877296
Ammonia price: Administrative Expense ($/kg),0.0036334497144586662
Ammonia price: Hydrogen ($/kg),0.6530068546277579
Ammonia price: Electricity ($/kg),0.012412930731019423
Ammonia price: Cooling water ($/kg),6.803051972079998e-06
Ammonia price: Iron based catalyst ($/kg),0.002581878260701437
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.00795900460943383
Ammonia price: Equipment Financing ($/kg),0.027701202750421285
Ammonia price: Remaining Financial ($/kg),0.0047317057424990285
Ammonia price: Total ($/kg),0.7398787469095701
