,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,29319.820891715237,424941.9931444676,454261.8140361828,8366.316447324267
1,454262.5749150058,29320.581770538236,424941.9931444676,454262.5749150058,8366.316447324267
2,454263.3357938288,29321.342649361235,424941.9931444676,454263.3357938288,8366.316447324267
3,454264.0966726517,29322.103528184118,424941.9931444676,454264.0966726517,8366.316447324267
4,454264.8575514747,29322.864407007117,424941.9931444676,454264.8575514747,8366.316447324267
5,454265.61843029765,41898.50845819188,412367.10997210577,454265.61843029765,8366.316447324267
6,454266.37930912065,29324.386164653057,424941.9931444676,454266.37930912065,8366.316447324267
7,454267.1401879437,42248.60988944664,412018.53029849706,454267.1401879437,8366.316447324267
8,480000.0,0.0,480000.0,480000.0,8366.316447324267
9,454268.6619455895,30144.822958949313,424123.8389866402,454268.6619455895,8366.316447324267
10,454269.42282441247,205887.13064151787,248382.2921828946,454269.42282441247,8366.316447324267
11,454270.18370323547,154611.93847308215,299658.2452301533,454270.18370323547,8366.316447324267
12,454270.94458205847,256976.5649702911,197294.37961176736,454270.94458205847,8366.316447324267
13,454271.70546088135,258704.57615915802,195567.12930172333,454271.70546088135,8366.316447324267
14,454272.46633970435,251942.87659975706,202329.5897399473,454272.46633970435,8366.316447324267
15,454273.22721852735,408031.6344284321,46241.59279009523,454273.22721852735,8366.316447324267
16,454273.9880973503,28867.402390529052,425406.58570682124,454273.9880973503,8366.316447324267
17,454274.7489761733,321389.9611477884,132884.7878283849,454274.7489761733,8366.316447324267
18,454275.5098549961,347648.5943117093,106626.91554328686,454275.5098549961,8366.316447324267
19,454276.27073381917,278559.6028859469,175716.66784787225,454276.27073381917,8366.316447324267
20,454277.03161264217,170632.6660056471,283644.36560699507,454277.03161264217,8366.316447324267
21,454277.7924914651,89760.58263589715,364517.20985556795,454277.7924914651,8366.316447324267
22,454278.5533702881,241461.4583853258,212817.0949849623,454278.5533702881,8366.316447324267
23,454279.314249111,285282.2280561912,168997.0861929198,454279.314249111,8366.316447324267
24,454280.075127934,237383.19926465338,216896.8758632806,454280.075127934,8366.316447324267
25,454280.836006757,243314.09446025742,210966.74154649957,454280.836006757,8366.316447324267
26,454281.59688557993,190355.87664338405,263925.7202421959,454281.59688557993,8366.316447324267
27,454282.3577644028,195875.7465319551,258406.6112324477,454282.3577644028,8366.316447324267
28,454283.1186432258,175727.50782372494,278555.6108195009,454283.1186432258,8366.316447324267
29,454283.87952204875,148560.31213510025,305723.5673869485,454283.87952204875,8366.316447324267
30,454284.64040087175,212115.88968822252,242168.75071264923,454284.64040087175,8366.316447324267
31,454285.40127969475,222527.0424268383,231758.35885285644,454285.40127969475,8366.316447324267
32,454286.1621585177,26200.40738493763,428085.75477358006,454286.1621585177,8366.316447324267
33,454286.9230373407,201851.84736316305,252435.07567417764,454286.9230373407,8366.316447324267
34,454287.68391616363,278904.7710701798,175382.9128459838,454287.68391616363,8366.316447324267
35,454288.44479498663,257539.43247445964,196749.012320527,454288.44479498663,8366.316447324267
36,454289.2056738096,240910.56514379225,213378.64053001738,454289.2056738096,8366.316447324267
37,454289.96655263245,253580.50679402828,200709.45975860418,454289.96655263245,8366.316447324267
38,454290.72743145545,309246.33724476845,145044.390186687,454290.72743145545,8366.316447324267
39,454291.4883102784,335050.8814815068,119240.60682877158,454291.4883102784,8366.316447324267
40,454292.2491891014,317161.0939892157,137131.15519988572,454292.2491891014,8366.316447324267
41,454293.01006792445,309411.4638037313,144881.54626419314,454293.01006792445,8366.316447324267
42,454293.7709467473,293603.5953784236,160690.17556832367,454293.7709467473,8366.316447324267
43,454294.53182557033,261103.66188990857,193190.86993566176,454294.53182557033,8366.316447324267
44,454295.2927043933,294930.1767679811,159365.11593641218,454295.2927043933,8366.316447324267
45,454296.0535832163,282191.28271344013,172104.7708697761,454296.0535832163,8366.316447324267
46,454296.81446203927,190086.8525043311,264209.9619577082,454296.81446203927,8366.316447324267
47,454297.57534086215,359511.2869550269,94786.28838583521,454297.57534086215,8366.316447324267
48,454298.3362196851,310240.25435367186,144058.08186601324,454298.3362196851,8366.316447324267
49,454299.09709850815,293631.9410562137,160667.15604229443,454299.09709850815,8366.316447324267
50,454299.85797733115,320760.7933174763,133539.06465985483,454299.85797733115,8366.316447324267
51,454300.6188561541,380676.98286737816,73623.63598877593,454300.6188561541,8366.316447324267
52,454301.379734977,210171.8536059115,244129.52612906546,454301.379734977,8366.316447324267
53,454302.1406138,334607.3572983009,119694.78331549908,454302.1406138,8366.316447324267
54,454302.90149262303,363644.17162507575,90658.72986754726,454302.90149262303,8366.316447324267
55,454303.6623714459,156439.8159807459,297863.8463907,454303.6623714459,8366.316447324267
56,454304.4232502689,243991.80277505846,210312.62047521045,454304.4232502689,8366.316447324267
57,454305.18412909185,166173.94433172204,288131.2397973698,454305.18412909185,8366.316447324267
58,454305.9450079148,198753.85585004455,255552.08915787024,454305.9450079148,8366.316447324267
59,454306.7058867378,250751.61987806397,203555.08600867382,454306.7058867378,8366.316447324267
60,454307.4667655608,219309.61427290132,234997.85249265947,454307.4667655608,8366.316447324267
61,454308.22764438373,148263.6550544707,306044.57258991303,454308.22764438373,8366.316447324267
62,454308.9885232067,79681.0868209881,374627.9017022186,454308.9885232067,8366.316447324267
63,460254.04916397773,0.0,460254.04916397773,460254.04916397773,8366.316447324267
64,454310.5102808526,84041.48123364284,370269.02904720977,454310.5102808526,8366.316447324267
65,454311.27115967555,153835.96110389638,300475.3100557792,454311.27115967555,8366.316447324267
66,454312.0320384986,64558.04492039519,389753.9871181034,454312.0320384986,8366.316447324267
67,454312.7929173215,29370.799772853905,424941.9931444676,454312.7929173215,8366.316447324267
68,454313.55379614444,29371.560651676846,424941.9931444676,454313.55379614444,8366.316447324267
69,454314.31467496743,29372.321530499845,424941.9931444676,454314.31467496743,8366.316447324267
70,454315.0755537905,29373.082409322902,424941.9931444676,454315.0755537905,8366.316447324267
71,454315.8364326133,29373.843288145727,424941.9931444676,454315.8364326133,8366.316447324267
72,454316.5973114363,29374.604166968726,424941.9931444676,454316.5973114363,8366.316447324267
73,454317.35819025926,29375.365045791666,424941.9931444676,454317.35819025926,8366.316447324267
74,454318.11906908226,29376.125924614666,424941.9931444676,454318.11906908226,8366.316447324267
75,454318.87994790525,29376.886803437665,424941.9931444676,454318.87994790525,8366.316447324267
76,454319.6408267281,29377.64768226049,424941.9931444676,454319.6408267281,8366.316447324267
77,454320.4017055511,29378.408561083488,424941.9931444676,454320.4017055511,8366.316447324267
78,454321.16258437413,29379.169439906545,424941.9931444676,454321.16258437413,8366.316447324267
