,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,39254.6153441141,0.0,39254.6153441141,39254.6153441141,-0.0
1,0.0,0.0,0.0,0.0,-0.0
2,21973.392091923444,0.0,21973.392091923444,21973.392091923444,-0.0
3,88808.74101688393,0.0,88808.74101688393,88808.74101688393,-0.0
4,145179.85685068148,0.0,145179.85685068148,145179.85685068148,-0.0
5,172170.42642436127,0.0,172170.42642436127,172170.42642436127,3163.622910101136
6,203714.5652987233,0.0,203714.5652987233,203714.5652987233,4451.606692417534
7,315007.7108188974,0.0,315007.7108188974,315007.7108188974,6706.537335627571
8,427315.11936361244,0.0,427315.11936361244,427315.11936361244,8911.876960453099
9,327183.98225769773,0.0,327183.98225769773,327183.98225769773,6948.697133489546
10,103317.70200833373,0.0,103317.70200833373,103317.70200833373,-0.0
11,101142.15580385101,0.0,101142.15580385101,101142.15580385101,-0.0
12,124589.68848105967,0.0,124589.68848105967,124589.68848105967,-0.0
13,150466.1807459146,0.0,150466.1807459146,150466.1807459146,-0.0
14,164601.2654909674,0.0,164601.2654909674,164601.2654909674,-0.0
15,154274.92110657648,0.0,154274.92110657648,154274.92110657648,-0.0
16,439936.71877581766,0.0,439936.71877581766,439936.71877581766,7629.37095033071
17,501318.91826546093,0.0,501318.91826546093,501318.91826546093,10332.561818610082
18,709988.9304816559,0.0,709988.9304816559,709988.9304816559,14225.966558694361
19,777845.6805043432,0.0,777845.6805043432,777845.6805043432,15459.611458194828
20,784831.2820725832,0.0,784831.2820725832,784831.2820725832,15585.757783987896
21,765485.8224198758,0.0,765485.8224198758,765485.8224198758,15235.945884169882
22,697793.7810419096,0.0,697793.7810419096,697793.7810419096,14002.570915637378
23,628156.6336214248,0.0,628156.6336214248,628156.6336214248,12717.7780880407
24,619930.6819702844,0.0,619930.6819702844,619930.6819702844,12564.874592669332
25,603565.2303229347,0.0,603565.2303229347,603565.2303229347,12259.973042657493
26,605779.466577932,0.0,605779.466577932,605779.466577932,12301.259317865906
27,502883.01074859366,0.0,502883.01074859366,502883.01074859366,10362.178867777291
28,441404.08227691345,0.0,441404.08227691345,441404.08227691345,9183.387870807828
29,395152.29599129595,0.0,395152.29599129595,395152.29599129595,8285.682890020586
30,438460.04137039505,0.0,438460.04137039505,438460.04137039505,9126.503746850094
31,525340.8634901561,0.0,525340.8634901561,525340.8634901561,10788.818950748173
32,527403.3565840505,0.0,527403.3565840505,527403.3565840505,10827.888314107699
33,396474.26457519626,0.0,396474.26457519626,396474.26457519626,8311.420596820592
34,184066.7751402131,0.0,184066.7751402131,184066.7751402131,4043.96832954718
35,121141.34769886374,0.0,121141.34769886374,121141.34769886374,-0.0
36,103121.94688275523,0.0,103121.94688275523,103121.94688275523,-0.0
37,76800.09581598696,0.0,76800.09581598696,76800.09581598696,-0.0
38,49012.66512750052,0.0,49012.66512750052,49012.66512750052,-0.0
39,39432.07859004486,0.0,39432.07859004486,39432.07859004486,-0.0
40,45240.77890398454,0.0,45240.77890398454,45240.77890398454,-0.0
41,79902.28423636428,0.0,79902.28423636428,79902.28423636428,-0.0
42,94213.39005803513,0.0,94213.39005803513,94213.39005803513,-0.0
43,116523.19065878431,0.0,116523.19065878431,116523.19065878431,-0.0
44,133275.78052404118,0.0,133275.78052404118,133275.78052404118,-0.0
45,417686.15579910926,0.0,417686.15579910926,417686.15579910926,7269.564051028817
46,604657.5630671275,0.0,604657.5630671275,604657.5630671275,12279.19270364051
47,607528.5436033494,0.0,607528.5436033494,607528.5436033494,12332.711153067332
48,854041.6651965043,0.0,854041.6651965043,854041.6651965043,16826.046205606697
49,785926.507600083,0.0,785926.507600083,785926.507600083,15603.877857540427
50,687180.5156657818,0.0,687180.5156657818,687180.5156657818,13806.380176157152
51,541289.7909003308,0.0,541289.7909003308,541289.7909003308,11089.599973568425
52,557427.2173191983,0.0,557427.2173191983,557427.2173191983,11393.938878137971
53,424052.1463042385,0.0,424052.1463042385,424052.1463042385,8846.82198581806
54,436759.3517818186,0.0,436759.3517818186,436759.3517818186,9092.714181245432
55,333054.13994307665,0.0,333054.13994307665,333054.13994307665,7063.670447463831
56,239843.05121010626,0.0,239843.05121010626,239843.05121010626,5191.35142754029
57,108737.97695150264,0.0,108737.97695150264,108737.97695150264,-0.0
58,36785.364598306754,0.0,36785.364598306754,36785.364598306754,-0.0
59,67501.01444006883,0.0,67501.01444006883,67501.01444006883,-0.0
60,122288.62967109603,0.0,122288.62967109603,122288.62967109603,-0.0
61,252036.13880960588,0.0,252036.13880960588,252036.13880960588,4532.361556687315
62,430394.7720904876,0.0,430394.7720904876,430394.7720904876,8968.875231981794
63,619557.2158964701,0.0,619557.2158964701,619557.2158964701,12555.495764676134
64,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,20235.463185983477
65,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,20235.429294047965
66,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,20235.39540222596
67,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,20235.36151051745
68,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,20235.32761892246
69,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,20235.293727440956
70,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,20235.259836072975
71,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,20235.22594481848
72,942886.0997605274,0.0,942886.0997605274,942886.0997605274,18397.845583081467
73,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,20235.15852360046
74,987869.3402970626,0.0,987869.3402970626,987869.3402970626,19186.20674695732
